"Total.GI","Goals","Assists","MP","BD","Year","Player"
35,25,10,60,"N",2006,"Ronaldo"
45,34,11,60,"N",2007,"Ronaldo"
47,35,12,58,"Y",2008,"Ronaldo"
36,30,6,49,"N",2009,"Ronaldo"
66,48,18,59,"N",2010,"Ronaldo"
78,60,18,60,"N",2011,"Ronaldo"
76,63,13,71,"N",2012,"Ronaldo"
84,69,15,59,"Y",2013,"Ronaldo"
81,61,20,60,"Y",2014,"Ronaldo"
74,57,17,57,"N",2015,"Ronaldo"
71,55,16,57,"Y",2016,"Ronaldo"
65,53,12,60,"Y",2017,"Ronaldo"
62,49,13,53,"N",2018,"Ronaldo"
43,39,4,50,"N",2019,"Ronaldo"
51,44,7,45,"N",2020,"Ronaldo"
54,47,7,65,"N",2021,"Ronaldo"
20,16,4,46,"N",2022,"Ronaldo"
15,12,3,33,"N",2006,"Messi"
43,31,12,55,"N",2007,"Messi"
40,22,18,48,"N",2008,"Messi"
56,41,15,64,"Y",2009,"Messi"
77,60,17,64,"Y",2010,"Messi"
96,59,37,70,"Y",2011,"Messi"
113,91,22,69,"Y",2012,"Messi"
61,45,16,47,"N",2013,"Messi"
80,58,22,66,"N",2014,"Messi"
78,52,26,61,"Y",2015,"Messi"
90,59,31,62,"N",2016,"Messi"
70,54,16,64,"N",2017,"Messi"
77,51,26,54,"N",2018,"Messi"
68,50,18,58,"Y",2019,"Messi"
46,27,19,48,"N",2020,"Messi"
61,43,18,61,"Y",2021,"Messi"
65,35,30,51,"N",2022,"Messi"
